epoch,open,high,low,close,volume
1723694400,2491.3,2493.0,2490.3,2490.9,2794
1723698000,2490.8,2492.7,2487.7,2491.5,3701
1723701600,2491.6,2496.4,2490.2,2493.6,6162
1723705200,2493.6,2494.3,2492.0,2493.3,3580
1723708800,2493.4,2494.9,2491.2,2493.0,4190
1723712400,2493.0,2494.8,2492.9,2494.3,2348
1723716000,2494.3,2497.9,2494.3,2495.7,3433
1723719600,2495.7,2501.9,2495.3,2501.1,6688
1723723200,2501.3,2508.0,2478.0,2478.4,29055
1723726800,2478.5,2488.8,2469.2,2481.9,33458
1723730400,2481.7,2496.5,2481.7,2490.0,17084
1723734000,2489.8,2497.3,2488.3,2496.1,9207
1723737600,2496.1,2497.7,2492.6,2493.2,4544
1723741200,2493.4,2494.2,2491.0,2493.2,5520
1723744800,2493.3,2496.2,2492.5,2496.1,5317
1723748400,2496.2,2499.4,2491.9,2493.5,5531
1723752000,2493.4,2495.3,2492.6,2494.5,2349
1723759200,2494.4,2494.7,2492.0,2492.4,0
1723762800,2492.4,2495.7,2491.8,2494.7,2075
1723766400,2494.8,2497.3,2494.5,2495.9,1219
1723770000,2496.0,2497.7,2493.2,2495.1,2784
1723773600,2494.8,2495.4,2491.2,2492.6,3153
1723777200,2492.5,2493.3,2488.2,2490.0,4215
1723780800,2489.9,2491.1,2489.3,2490.0,2277
1723784400,2490.1,2493.8,2489.8,2493.0,2670
1723788000,2493.1,2495.4,2491.9,2492.4,4465
1723791600,2492.4,2501.9,2489.4,2499.3,10071
1723795200,2499.6,2501.5,2496.5,2500.0,6165
1723798800,2500.0,2502.1,2498.9,2500.9,3837
1723802400,2500.8,2506.0,2500.4,2502.3,6000
1723806000,2502.4,2510.3,2502.4,2510.0,9679
1723809600,2510.0,2531.4,2509.3,2530.5,29334
1723813200,2530.6,2538.7,2522.2,2533.3,41061
1723816800,2533.3,2533.9,2515.8,2525.6,29591
1723820400,2525.6,2531.0,2524.1,2530.3,12598
1723824000,2530.5,2536.3,2530.3,2534.4,11330
1723827600,2534.3,2538.7,2531.4,2538.2,9747
1723831200,2538.3,2544.1,2536.8,2541.9,10147
1723834800,2542.0,2547.4,2540.2,2546.5,7272
1723838400,2546.5,2548.3,2543.8,2546.2,3515
1724018400,2549.7,2549.9,2540.9,2543.6,4728
1724022000,2543.6,2545.6,2542.2,2545.1,1224
1724025600,2545.2,2545.6,2539.0,2540.9,4773
1724029200,2541.1,2545.0,2533.7,2537.0,10628
1724032800,2536.9,2543.0,2534.7,2542.5,5500
1724036400,2542.2,2544.8,2539.3,2541.9,4628
1724040000,2541.9,2543.4,2537.6,2539.5,3342
1724043600,2539.5,2541.1,2537.9,2539.9,2999
1724047200,2539.6,2543.6,2538.3,2540.5,4924
1724050800,2540.6,2543.4,2537.9,2541.2,6615
1724054400,2541.2,2545.8,2540.7,2541.5,4614
1724058000,2541.5,2542.5,2538.2,2538.4,4292
1724061600,2538.3,2538.5,2526.9,2527.7,9249
1724065200,2527.8,2533.5,2524.4,2532.8,7939
1724068800,2532.9,2533.8,2526.4,2529.4,6586
1724072400,2529.5,2534.3,2523.7,2532.9,15725
1724076000,2532.8,2543.0,2531.5,2539.5,15911
1724079600,2539.5,2544.4,2538.2,2542.4,8991
1724083200,2542.6,2545.8,2540.3,2543.8,7865
1724086800,2543.7,2544.1,2539.1,2541.6,7447
1724090400,2541.5,2543.4,2540.9,2542.8,5353
1724094000,2542.7,2544.3,2541.5,2543.9,3701
1724097600,2543.9,2544.2,2541.3,2542.6,1749
1724104800,2542.4,2542.9,2540.2,2542.5,0
1724108400,2542.4,2542.6,2540.7,2541.8,1335
1724112000,2541.9,2545.0,2541.5,2543.0,2746
1724115600,2543.0,2546.4,2539.3,2540.0,5307
1724119200,2539.9,2540.6,2536.5,2537.4,4353
1724122800,2537.5,2540.2,2536.6,2539.4,2002
1724126400,2539.5,2540.4,2537.1,2538.6,1341
1724130000,2538.7,2541.4,2537.3,2537.3,2828
1724133600,2537.2,2543.8,2535.1,2540.5,5699
1724137200,2540.4,2553.7,2539.3,2553.2,11554
1724140800,2553.4,2561.7,2552.8,2558.3,14082
1724144400,2558.5,2563.8,2558.4,2560.3,8804
1724148000,2560.2,2563.4,2559.6,2561.4,4901
1724151600,2561.2,2565.5,2560.6,2564.8,5708
1724155200,2565.0,2568.0,2560.2,2565.2,12110
1724158800,2565.3,2570.4,2558.3,2568.5,22041
1724162400,2568.4,2568.8,2558.4,2562.1,18930
1724166000,2562.1,2562.3,2543.6,2546.4,26146
1724169600,2546.6,2548.6,2538.6,2547.1,14255
1724173200,2547.1,2551.4,2544.6,2548.8,7609
1724176800,2548.7,2553.8,2547.5,2551.7,5096
1724180400,2551.6,2553.5,2549.0,2553.2,4083
1724184000,2553.1,2555.3,2551.5,2552.1,1685
1724191200,2552.2,2553.9,2551.3,2552.9,0
1724194800,2552.8,2554.1,2550.7,2551.1,1128
1724198400,2551.1,2553.9,2550.6,2551.7,2060
1724202000,2551.8,2555.2,2548.8,2554.7,4502
1724205600,2554.8,2558.0,2553.9,2557.5,4786
1724209200,2557.5,2557.5,2551.2,2555.1,2979
1724212800,2555.3,2555.6,2551.6,2554.0,2517
1724216400,2553.9,2556.3,2552.9,2553.0,2661
