epoch,state,net,range
1736251200,S4,7.00,24.70
1736272800,S5,-2.90,5.50
1736294400,S1,0.20,7.80
1736316000,S1,0.10,9.00
1736337600,S4,7.70,28.10
1736359200,S1,7.50,13.30
1736380800,S1,-3.20,7.20
1736402400,S2,11.20,14.70
1736424000,S1,-1.70,15.00
1736445600,S5,7.80,9.30
1736467200,S2,6.20,7.70
1736488800,S1,9.10,14.40
1736510400,S6,17.70,48.10
1736532000,S3,-9.10,14.40
1736726400,S3,-6.60,13.90
1736748000,S3,-14.30,17.90
1736769600,S3,-17.50,21.30
1736791200,S1,3.90,12.10
1736812800,S1,-2.00,7.50
1736834400,S1,-1.90,13.10
1736856000,S1,0.90,16.00
1736877600,S2,9.00,15.20
1736899200,S1,1.30,8.20
1736920800,S2,14.70,19.00
1736942400,S4,7.90,21.00
1736964000,S2,7.70,10.50
1736985600,S1,1.20,11.20
1737007200,S2,7.70,19.60
1737028800,S2,21.40,30.30
1737050400,S3,-9.50,12.70
1737072000,S1,-3.80,7.90
1737093600,S1,-4.70,14.00
1737115200,S2,17.00,25.10
1737136800,S3,-13.50,17.60
1737331200,S2,11.30,16.00
1737439200,S3,-9.30,20.80
1737460800,S4,21.20,30.60
1737482400,S1,2.90,7.70
1737504000,S2,13.50,15.00
1737525600,S1,-3.60,14.90
1737547200,S1,-0.20,14.60
1737568800,S5,-4.90,8.40
1737590400,S1,-2.70,7.70
1737612000,S1,-2.00,17.40
1737633600,S1,6.40,26.10
1737655200,S5,-3.00,6.90
1737676800,S4,20.20,22.90
1737698400,S1,0.60,10.60
1737720000,S1,-3.50,19.10
1737741600,S1,-1.80,6.30
1737936000,S3,-14.20,20.20
1737957600,S2,17.40,24.40
1737979200,S3,-40.40,44.50
1738000800,S2,9.90,13.70
1738022400,S1,-0.70,8.90
1738044000,S1,2.00,12.20
1738065600,S2,20.30,23.50
1738087200,S5,2.70,7.20
1738108800,S5,-1.80,6.40
1738130400,S1,0.80,11.80
1738152000,S1,0.20,13.40
1738173600,S1,4.40,15.20
1738195200,S1,-2.00,5.70
1738216800,S6,45.90,47.80
1738238400,S6,27.60,59.70
1738260000,S2,11.50,37.00
1738281600,S3,-9.40,36.30
1738303200,S1,-4.00,34.00
1738324800,S1,0.20,49.90
1738346400,S1,-11.60,42.70
1738540800,S3,-20.20,57.60
1738562400,S2,21.40,45.40
1738584000,S1,21.80,58.90
1738605600,S3,-7.00,36.20
1738627200,S1,-2.10,35.20
1738648800,S1,-5.30,32.10
1738670400,S2,33.70,55.20
1738692000,S5,-3.60,5.10
1738713600,S5,15.00,17.80
1738735200,S5,6.10,16.80
1738756800,S5,1.40,27.20
1738778400,S5,-9.30,14.90
1738800000,S5,1.90,9.00
1738821600,S1,1.50,19.80
1738843200,S4,-11.20,39.20
1738864800,S5,4.00,8.30
1738886400,S5,3.10,10.80
1738908000,S2,7.80,14.90
1738929600,S4,-7.70,34.50
1738951200,S1,1.60,6.60
1739145600,S2,13.60,14.90
1739167200,S2,25.50,27.30
1739188800,S1,-0.30,16.90
1739210400,S2,12.10,18.60
1739232000,S4,5.00,33.50
1739253600,S3,-18.30,26.00
1739275200,S1,1.90,28.80
1739296800,S5,-5.50,12.50
1739318400,S3,-15.40,18.90
1739340000,S1,-5.80,16.70
1739361600,S2,25.20,50.00
1739383200,S1,-1.30,13.00
1739404800,S2,16.40,21.60
1739426400,S1,-0.20,11.80
1739448000,S1,2.80,16.60
1739469600,S2,9.60,18.20
1739491200,S1,0.80,12.30
1739512800,S1,-4.40,11.00
1739534400,S6,-52.70,59.70
1739556000,S3,-8.00,12.60
1739750400,S4,18.20,24.10
1739858400,S1,3.30,7.50
1739880000,S2,22.80,27.00
1739901600,S1,2.90,9.40
1739923200,S1,-3.60,16.70
1739944800,S1,3.30,17.30
1739966400,S4,-12.60,22.60
1739988000,S2,10.60,19.20
1740009600,S2,12.40,12.40
1740031200,S1,2.70,11.60
1740052800,S4,-9.70,29.20
1740074400,S1,1.20,10.30
1740096000,S3,-13.90,26.60
1740117600,S1,-1.90,20.10
1740139200,S2,12.10,20.90
1740160800,S1,-4.40,14.00
1740355200,S1,-0.50,20.70
1740376800,S2,13.00,15.40
1740398400,S4,-3.70,28.50
1740420000,S2,7.60,12.60
1740441600,S3,-12.60,16.80
1740463200,S1,-1.00,13.40
1740484800,S6,-31.40,62.70
1740506400,S2,10.70,14.00
1740528000,S1,-3.40,15.90
1740549600,S1,-0.60,13.80
1740571200,S1,1.10,28.80
1740592800,S2,5.40,9.30
1740614400,S3,-30.20,31.80
1740636000,S1,-7.80,21.10
1740657600,S1,-0.90,27.00
1740679200,S1,-8.80,17.70
1740700800,S3,-10.00,28.90
1740722400,S1,-1.00,16.00
1740744000,S4,-20.00,33.20
1740765600,S2,11.80,22.70
1740960000,S1,-9.90,15.30
1740981600,S2,12.20,17.40
1741003200,S2,17.00,24.60
1741024800,S1,0.00,18.60
1741046400,S1,-1.90,12.20
1741068000,S2,31.80,36.80
1741089600,S4,-9.10,29.20
1741111200,S1,3.50,12.50
1741132800,S1,3.70,16.80
1741154400,S1,-5.30,14.50
1741176000,S1,1.60,37.90
1741197600,S5,1.70,12.30
1741219200,S1,0.20,13.10
1741240800,S1,-13.70,33.40
1741262400,S1,9.20,25.30
1741284000,S1,-5.90,13.00
1741305600,S1,0.00,14.40
1741327200,S2,9.10,16.30
1741348800,S3,-10.00,29.60
1741370400,S1,1.40,10.60
1741564800,S3,-8.20,13.30
1741586400,S4,-5.60,20.20
1741608000,S3,-18.30,30.50
1741629600,S1,-2.80,11.10
1741651200,S2,10.40,21.40
1741672800,S2,19.30,23.10
1741694400,S1,4.60,16.90
1741716000,S1,-1.50,7.00
1741737600,S1,-0.90,8.50
1741759200,S1,-0.70,17.40
1741780800,S2,23.20,37.90
1741802400,S1,1.40,7.20
1741824000,S1,4.20,11.60
1741845600,S1,6.00,15.80
1741867200,S4,36.60,50.90
1741888800,S1,7.10,11.90
1741910400,S1,1.30,11.10
1741932000,S1,5.20,22.80
1741953600,S1,-7.40,23.30
1742169600,S1,-2.90,9.40
1742191200,S2,10.40,17.90
1742212800,S1,0.80,16.40
1742234400,S5,2.80,6.80
1742256000,S2,12.60,17.40
1742277600,S2,13.90,17.80
